Group	Baseline	Six_months
TextMessagers	52	32
TextMessagers	68	48
TextMessagers	85	62
TextMessagers	47	16
TextMessagers	73	63
TextMessagers	57	53
TextMessagers	63	59
TextMessagers	50	58
TextMessagers	66	59
TextMessagers	60	57
TextMessagers	51	60
TextMessagers	72	56
TextMessagers	77	61
TextMessagers	57	52
TextMessagers	79	9
TextMessagers	75	76
TextMessagers	53	38
TextMessagers	72	63
TextMessagers	62	53
TextMessagers	71	61
TextMessagers	53	50
TextMessagers	64	78
TextMessagers	79	33
TextMessagers	75	68
TextMessagers	60	59
Controls	65	62
Controls	57	50
Controls	66	62
Controls	71	61
Controls	75	70
Controls	61	64
Controls	80	64
Controls	66	55
Controls	53	47
Controls	62	61
Controls	61	56
Controls	77	64
Controls	66	62
Controls	52	47
Controls	60	56
Controls	58	78
Controls	54	74
Controls	72	61
Controls	71	61
Controls	87	78
Controls	75	62
Controls	57	71
Controls	59	55
Controls	46	46
Controls	89	79
